Stock,Buy Frequency,Sell Frequency,Total Frequency,Retun_less_0per Frequency,Retun_less_4per Frequency,Retun_less_8per Frequency,Retun_less_12per Frequency
APA,7,7,14,4.0,0.0,0.0,0.0
PARA,4,4,8,3.0,0.0,0.0,0.0
HPQ,4,4,8,3.0,0.0,0.0,0.0
ALB,6,6,12,3.0,1.0,1.0,1.0
DVA,8,8,16,3.0,0.0,0.0,0.0
BLK,5,5,10,3.0,0.0,0.0,0.0
CAG,2,2,4,2.0,0.0,0.0,0.0
HSY,3,3,6,2.0,0.0,0.0,0.0
GIS,3,3,6,2.0,0.0,0.0,0.0
PEP,4,4,8,2.0,0.0,0.0,0.0
CHRW,2,2,4,2.0,0.0,0.0,0.0
ADM,8,8,16,2.0,0.0,0.0,0.0
GM,2,2,4,2.0,0.0,0.0,0.0
VFC,3,3,6,2.0,1.0,0.0,0.0
NDSN,1,1,2,1.0,0.0,0.0,0.0
GPC,2,2,4,1.0,0.0,0.0,0.0
WDC,2,2,4,1.0,0.0,0.0,0.0
VTR,1,1,2,1.0,0.0,0.0,0.0
HUBB,1,1,2,1.0,0.0,0.0,0.0
ILMN,1,1,2,1.0,0.0,0.0,0.0
KEY,1,1,2,1.0,0.0,0.0,0.0
LKQ,1,1,2,1.0,0.0,0.0,0.0
MOH,5,5,10,1.0,0.0,0.0,0.0
MRNA,1,1,2,1.0,0.0,0.0,0.0
MTCH,1,1,2,1.0,0.0,0.0,0.0
PYPL,4,4,8,1.0,0.0,0.0,0.0
SBAC,1,1,2,1.0,0.0,0.0,0.0
NFLX,1,1,2,1.0,0.0,0.0,0.0
NI,1,1,2,1.0,0.0,0.0,0.0
OXY,2,2,4,1.0,0.0,0.0,0.0
PANW,2,2,4,1.0,0.0,0.0,0.0
V,2,2,4,1.0,0.0,0.0,0.0
PAYC,1,1,2,1.0,0.0,0.0,0.0
UNP,1,1,2,1.0,0.0,0.0,0.0
PFE,3,3,6,1.0,0.0,0.0,0.0
PG,1,1,2,1.0,0.0,0.0,0.0
NEM,1,1,2,1.0,0.0,0.0,0.0
HAS,2,2,4,1.0,0.0,0.0,0.0
EL,1,1,2,1.0,0.0,0.0,0.0
FLT.V,2,2,4,1.0,0.0,0.0,0.0
APD,3,3,6,1.0,0.0,0.0,0.0
BIIB,1,1,2,1.0,0.0,0.0,0.0
CVX,1,1,2,1.0,0.0,0.0,0.0
DIS,2,2,4,1.0,0.0,0.0,0.0
DVN,1,1,2,1.0,0.0,0.0,0.0
EMR,2,2,4,1.0,0.0,0.0,0.0
ESS,1,1,2,1.0,0.0,0.0,0.0
ZBH,1,1,2,1.0,0.0,0.0,0.0
FOX,1,1,2,1.0,0.0,0.0,0.0
FOXA,1,1,2,1.0,0.0,0.0,0.0
IBM,1,1,2,0.0,0.0,0.0,0.0
QRVO,1,1,2,0.0,0.0,0.0,0.0
CTVA,1,1,2,0.0,0.0,0.0,0.0
PAYX,1,1,2,0.0,0.0,0.0,0.0
CTRA,1,1,2,0.0,0.0,0.0,0.0
CTLT,2,2,4,0.0,0.0,0.0,0.0
CTAS,1,1,2,0.0,0.0,0.0,0.0
CHD,1,1,2,0.0,0.0,0.0,0.0
BMY,1,1,2,0.0,0.0,0.0,0.0
AEE,1,1,2,0.0,0.0,0.0,0.0
HAL,1,1,2,0.0,0.0,0.0,0.0
AWK,1,1,2,0.0,0.0,0.0,0.0
APTV,3,3,6,0.0,0.0,0.0,0.0
GE,1,1,2,0.0,0.0,0.0,0.0
AES,1,1,2,0.0,0.0,0.0,0.0
XRAY,1,1,2,0.0,0.0,0.0,0.0
CVS,2,2,4,0.0,0.0,0.0,0.0
DGX,1,1,2,0.0,0.0,0.0,0.0
DG,1,1,2,0.0,0.0,0.0,0.0
EQT,1,1,2,0.0,0.0,0.0,0.0
HUM,1,1,2,0.0,0.0,0.0,0.0
EW,2,2,4,0.0,0.0,0.0,0.0
KEYS,1,1,2,0.0,0.0,0.0,0.0
LHX,1,1,2,0.0,0.0,0.0,0.0
MMC,1,1,2,0.0,0.0,0.0,0.0
MO,1,1,2,0.0,0.0,0.0,0.0
MPC,1,1,2,0.0,0.0,0.0,0.0
IEX,1,1,2,0.0,0.0,0.0,0.0
MPWR,2,2,4,0.0,0.0,0.0,0.0
GOOGL,1,1,2,0.0,0.0,0.0,0.0
EIX,1,1,2,0.0,0.0,0.0,0.0
NEE,1,1,2,0.0,0.0,0.0,0.0
HST,3,3,6,0.0,0.0,0.0,0.0
FRT,1,1,2,0.0,0.0,0.0,0.0
GILD,1,1,2,0.0,0.0,0.0,0.0
