date,ticker,signal,weight
2024-05-13,SJM,1,0.3333
2024-05-13,BIO,1,0.3333
2024-05-13,HUM,1,0.3333
2024-05-14,GILD,1,0.2
2024-05-14,PFE,1,0.2
2024-05-14,WBD,1,0.2
2024-05-14,BIO,1,0.2
2024-05-14,HUM,1,0.2
2024-05-15,BIO,1,0.3333
2024-05-15,MOS,1,0.3333
2024-05-15,WBA,1,0.3333
2024-05-16,MKTX,1,0.3333
2024-05-16,MOS,1,0.3333
2024-05-16,SBAC,1,0.3333
2024-05-17,GILD,1,0.25
2024-05-17,BA,1,0.25
2024-05-17,PAYC,1,0.25
2024-05-17,MOS,1,0.25
2024-05-20,PAYC,1,0.25
2024-05-20,LKQ,1,0.25
2024-05-20,MSCI,1,0.25
2024-05-20,HUM,1,0.25
2024-05-21,MOS,1,1.0
2024-05-22,TSLA,1,0.25
2024-05-22,NKE,1,0.25
2024-05-22,MOS,1,0.25
2024-05-22,VRSN,1,0.25
2024-05-23,MKTX,1,0.25
2024-05-23,HUM,1,0.25
2024-05-23,MOS,1,0.25
2024-05-23,VRSN,1,0.25
2024-05-24,DECK,1,0.5
2024-05-24,CHRW,1,0.5
2024-05-28,HII,1,0.5
2024-05-28,LW,1,0.5
2024-05-29,APTV,1,0.3333
2024-05-29,CDNS,1,0.3333
2024-05-29,EOG,1,0.3333
2024-05-30,RL,1,0.25
2024-05-30,FRT,1,0.25
2024-05-30,TTWO,1,0.25
2024-05-30,LLY,1,0.25
